id,band,encoded_band
NB455_NB525_01,NB455,1
NB455_NB525_02,NB465,2
NB455_NB525_03,NB475,3
NB455_NB525_04,NB485,4
NB455_NB525_05,NB495,5
NB455_NB525_06,NB505,6
NB455_NB525_07,NB515,7
NB455_NB525_08,NB525,8
NB535_NB605_01,NB535,9
NB535_NB605_02,NB545,10
NB535_NB605_03,NB555,11
NB535_NB605_04,NB565,12
NB535_NB605_05,NB575,13
NB535_NB605_06,NB585,14
NB535_NB605_07,NB595,15
NB535_NB605_08,NB605,16
NB615_NB685_01,NB685,17
NB615_NB685_02,NB675,18
NB615_NB685_03,NB665,19
NB615_NB685_04,NB655,20
NB615_NB685_05,NB645,21
NB615_NB685_06,NB635,22
NB615_NB685_07,NB625,23
NB615_NB685_08,NB615,24
NB695_NB765_01,NB765,25
NB695_NB765_02,NB755,26
NB695_NB765_03,NB745,27
NB695_NB765_04,NB735,28
NB695_NB765_05,NB725,29
NB695_NB765_06,NB715,30
NB695_NB765_07,NB705,31
NB695_NB765_08,NB695,32
NB775_NB845_01,NB845,33
NB775_NB845_02,NB835,34
NB775_NB845_03,NB825,35
NB775_NB845_04,NB815,36
NB775_NB845_05,NB805,37
NB775_NB845_06,NB795,38
NB775_NB845_07,NB785,39
NB775_NB845_08,NB775,40
